"order_id","product_id","add_to_cart_order"
9,29193,5
9,34203,6
9,31506,8
9,23288,9
9,44533,10
9,27366,12
10,21137,7
10,22122,8
10,34134,9
10,27156,10
10,49235,12
10,26842,13
10,25720,15
11,31506,5
12,37215,5
12,34335,6
12,26910,8
12,38888,9
12,38050,10
12,25213,11
12,23390,13
12,29471,14
12,43511,15
13,44635,5
13,26878,6
13,25783,7
13,41290,8
13,33198,9
13,23020,10
13,36086,11
13,25952,13
14,41890,6
14,39475,7
14,23032,9
14,20995,10
14,45066,11
15,32463,5
18,36011,5
18,44632,6
18,46969,7
18,27966,8
18,38985,9
18,26648,10
18,48745,11
18,28934,14
18,45495,16
18,32018,17
18,27644,18
18,23339,22
18,35547,24
18,33279,25
18,46979,26
18,47766,27
20,33452,5
20,24852,6
20,42633,7
20,27605,8
21,25718,5
22,41273,5
22,23341,6
22,46941,7
22,39993,8
22,21410,10
22,40593,12
22,46979,13
22,31268,14
23,47766,5
23,44953,8
23,44299,12
23,32205,14
25,22105,5
25,39046,8
25,48171,9
25,33506,10
25,30320,11
25,37449,13
25,48299,14
26,33120,5
26,21903,6
26,40545,7
26,47766,8
27,38226,5
27,47766,7
27,42701,9
27,21938,10
27,28849,12
27,41588,13
27,28985,16
27,49383,17
27,40604,18
27,24489,21
27,26128,22
27,41950,24
27,20638,25
27,27451,26
28,25256,5
28,47626,6
28,37220,7
28,27548,9
28,45504,10
28,47209,12
28,24024,13
28,38544,14
